Name,ABN,Trading Name,Trade,Address,Contact Name,Contact Email,Contact Phone,Broker Name,Broker Email,Broker Phone,Project Count,Created At
"ABC Constructions Pty Ltd","53154067601","","","16 Main Street, Sydney NSW 2081","","info@abc134.com.au","02 9293 7538","","","",1,"2026-01-07 12:35:28"
"Ace Concrete Solutions","71434622839","","","364 Main Street, Sydney NSW 2063","","info@ace770.com.au","02 9887 2977","","","",1,"2026-01-07 12:35:28"
"Alpha Security Systems","79102886010","","","186 Victoria Street, Sydney NSW 2049","","info@alpha918.com.au","02 9807 9678","","","",1,"2026-01-07 12:35:28"
"EXPORT_TEST_SUB_001","53004085616","","Carpentry","","Portal Test User","portal_test_jan7@example.com","","","","",6,"2026-01-06 17:39:22"
"EXPORT_TEST_SUB_002","33102417032","","HVAC","","","","","","","",0,"2026-01-06 17:40:52"
"EXPORT_TEST_SUB_003","49004028077","","Scaffolding","","","","","","","",0,"2026-01-06 17:41:17"
"Expert Landscaping","96313390548","","","80 Victoria Street, Sydney NSW 2187","","info@expert840.com.au","02 9803 6298","","","",1,"2026-01-07 12:35:28"
"Metro HVAC Systems","88548309693","","","51 Victoria Street, Sydney NSW 2089","","info@metro383.com.au","02 9747 2936","","","",1,"2026-01-07 12:35:28"
"NOTIFICATION_TEST_SUBBIE","51824753556","","Electrical","","Followup Test Contact","followup_test_174769@example.com","","","","",2,"2026-01-06 16:05:33"
"PERF_TEST_SUB_001","28754307116","","Electrical","","","","","","","",0,"2026-01-07 04:52:06"
"PERF_TEST_SUB_007","37715574501","","Painting","","","","","","","",0,"2026-01-07 04:52:06"
"PERF_TEST_SUB_012","98366016385","","Electrical","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_013","60993039008","","Plumbing","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_014","92308998935","","HVAC","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_015","50737922448","","Carpentry","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_016","26406988254","","Scaffolding","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_017","46372935479","","Roofing","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_018","90447871904","","Painting","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_019","13332519166","","Steel","","","","","","","",0,"2026-01-07 04:52:06"
"PERF_TEST_SUB_019","24545861223","","Concrete","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_020","82974894626","","Steel","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_021","22741526374","","Electrical","","","","","","","",0,"2026-01-07 04:52:06"
"PERF_TEST_SUB_021","86082884935","","Glazing","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_022","24388764563","","Electrical","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_023","60024777594","","Plumbing","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_024","64228211872","","Carpentry","","","","","","","",0,"2026-01-07 04:52:07"
"PERF_TEST_SUB_024","40980724710","","HVAC","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_025","94822617379","","Carpentry","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_026","50690673285","","Scaffolding","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_027","98896553804","","Roofing","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_028","76103533432","","Painting","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_029","68630556154","","Concrete","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_030","14409413060","","Steel","","","","","","","",0,"2026-01-07 04:52:27"
"PERF_TEST_SUB_031","72838446463","","Glazing","","","","","","","",0,"2026-01-07 04:52:28"
"PERF_TEST_SUB_032","68473459494","","Electrical","","","","","","","",0,"2026-01-07 04:52:28"
"PERF_TEST_SUB_033","10844375557","","Plumbing","","","","","","","",0,"2026-01-07 04:52:28"
"PERF_TEST_SUB_034","10687278897","","HVAC","","","","","","","",0,"2026-01-07 04:52:28"
"PERF_TEST_SUB_035","88917202301","","Carpentry","","","","","","","",0,"2026-01-07 04:52:28"
"PERF_TEST_SUB_036","26766034735","","Scaffolding","","","","","","","",0,"2026-01-07 04:52:28"
"PERF_TEST_SUB_037","62402047766","","Roofing","","","","","","","",0,"2026-01-07 04:52:28"
"PERF_TEST_SUB_038","10708917394","","Painting","","","","","","","",0,"2026-01-07 04:52:28"
"PERF_TEST_SUB_039","42850760229","","Steel","","","","","","","",0,"2026-01-07 04:52:07"
"PERF_TEST_SUB_039","70541910735","","Concrete","","","","","","","",0,"2026-01-07 04:52:28"
"PERF_TEST_SUB_040","46210976541","","Steel","","","","","","","",0,"2026-01-07 04:52:28"
"PERF_TEST_SUB_041","50418866850","","Glazing","","","","","","","",0,"2026-01-07 04:52:28"
"PERF_TEST_SUB_042","42945889572","","Electrical","","","","","","","",0,"2026-01-07 04:52:28"
"PERF_TEST_SUB_043","46053879881","","Plumbing","","","","","","","",0,"2026-01-07 04:52:28"
"PERF_TEST_SUB_050","32862908311","","Electrical","","","","","","","",0,"2026-01-07 04:52:41"
"PERF_TEST_SUB_051","47686850817","","Plumbing","","","","","","","",0,"2026-01-07 04:52:41"
"PERF_TEST_SUB_052","89954769025","","Plumbing","","","","","","","",0,"2026-01-07 04:52:07"
"PERF_TEST_SUB_052","69422785251","","HVAC","","","","","","","",0,"2026-01-07 04:52:41"
"PERF_TEST_SUB_053","51367511785","","Carpentry","","","","","","","",0,"2026-01-07 04:52:41"
"PERF_TEST_SUB_054","11541104239","","Scaffolding","","","","","","","",0,"2026-01-07 04:52:41"
